id,YES,condname,education
168,23,No TOSA or warning,HS_or_less
169,12,No TOSA or warning,Associate
170,5,No TOSA or warning,Associate
171,15,No TOSA or warning,HS_or_less
172,15,No TOSA or warning,HS_or_less
173,11,No TOSA or warning,Bachelors
174,21,No TOSA or warning,Associate
175,16,No TOSA or warning,HS_or_less
176,6,No TOSA or warning,Associate
177,12,No TOSA or warning,HS_or_less
178,12,No TOSA or warning,HS_or_less
179,2,No TOSA or warning,Associate
180,9,No TOSA or warning,Graduate
181,7,No TOSA or warning,Bachelors
182,17,No TOSA or warning,Associate
183,6,No TOSA or warning,Associate
184,9,No TOSA or warning,Associate
185,10,No TOSA or warning,Bachelors
186,9,No TOSA or warning,Bachelors
187,14,No TOSA or warning,HS_or_less
188,15,No TOSA or warning,Associate
189,9,No TOSA or warning,Bachelors
190,4,No TOSA or warning,HS_or_less
191,16,No TOSA or warning,Bachelors
192,21,No TOSA or warning,Associate
193,12,No TOSA or warning,HS_or_less
194,11,No TOSA or warning,Associate
195,7,No TOSA or warning,HS_or_less
196,13,No TOSA or warning,Bachelors
197,11,No TOSA or warning,HS_or_less
198,8,No TOSA or warning,Associate
199,6,No TOSA or warning,Graduate
200,13,No TOSA or warning,Associate
201,12,No TOSA or warning,Bachelors
202,7,No TOSA or warning,Bachelors
203,13,No TOSA or warning,Associate
204,6,No TOSA or warning,Associate
205,10,No TOSA or warning,Bachelors
206,16,No TOSA or warning,Bachelors
207,17,No TOSA or warning,HS_or_less
208,4,No TOSA or warning,HS_or_less
209,16,No TOSA or warning,Bachelors
210,7,No TOSA or warning,Bachelors
211,20,No TOSA or warning,HS_or_less
212,7,No TOSA or warning,Graduate
213,8,No TOSA or warning,HS_or_less
214,14,No TOSA or warning,HS_or_less
215,11,No TOSA or warning,Bachelors
216,2,No TOSA or warning,Bachelors
217,17,No TOSA or warning,Associate
218,8,No TOSA or warning,HS_or_less
219,13,No TOSA or warning,HS_or_less
220,5,No TOSA or warning,Graduate
221,8,No TOSA or warning,Graduate
222,4,No TOSA or warning,Bachelors
223,10,No TOSA or warning,Associate
224,4,No TOSA or warning,Bachelors
225,10,No TOSA or warning,Associate
226,16,No TOSA or warning,HS_or_less
227,4,No TOSA or warning,Associate
228,19,No TOSA or warning,HS_or_less
229,9,No TOSA or warning,Bachelors
230,14,No TOSA or warning,HS_or_less
231,16,No TOSA or warning,Bachelors
232,12,No TOSA or warning,Associate
233,10,No TOSA or warning,HS_or_less
234,10,No TOSA or warning,Bachelors
235,3,No TOSA or warning,HS_or_less
236,3,No TOSA or warning,Bachelors
237,10,No TOSA or warning,HS_or_less
238,16,No TOSA or warning,Bachelors
239,8,No TOSA or warning,HS_or_less
240,11,No TOSA or warning,Bachelors
241,15,No TOSA or warning,Bachelors
242,6,No TOSA or warning,Bachelors
243,17,No TOSA or warning,Associate
244,15,No TOSA or warning,HS_or_less
245,14,No TOSA or warning,Bachelors
246,20,No TOSA or warning,HS_or_less
247,10,No TOSA or warning,HS_or_less
248,10,No TOSA or warning,Graduate
249,14,No TOSA or warning,Graduate
250,13,No TOSA or warning,HS_or_less
251,5,No TOSA or warning,HS_or_less
252,14,No TOSA or warning,Graduate
253,10,No TOSA or warning,HS_or_less
254,13,No TOSA or warning,Associate
255,12,No TOSA or warning,Bachelors
256,15,No TOSA or warning,HS_or_less
257,1,No TOSA or warning,HS_or_less
258,12,No TOSA or warning,HS_or_less
259,11,No TOSA or warning,Associate
260,15,No TOSA or warning,Associate
261,5,No TOSA or warning,Bachelors
262,21,No TOSA or warning,Bachelors
263,16,No TOSA or warning,Bachelors
264,4,No TOSA or warning,Bachelors
265,16,No TOSA or warning,Bachelors
266,17,No TOSA or warning,HS_or_less
267,8,No TOSA or warning,Bachelors
268,0,No TOSA or warning,Associate
269,0,No TOSA or warning,HS_or_less
270,10,No TOSA or warning,Bachelors
271,13,No TOSA or warning,Bachelors
272,5,No TOSA or warning,Bachelors
273,11,No TOSA or warning,Bachelors
274,17,No TOSA or warning,Associate
275,14,No TOSA or warning,Bachelors
276,12,No TOSA or warning,Bachelors
277,20,No TOSA or warning,Associate
278,13,No TOSA or warning,HS_or_less
279,7,No TOSA or warning,Bachelors
280,9,No TOSA or warning,HS_or_less
281,6,No TOSA or warning,HS_or_less
282,13,No TOSA or warning,Bachelors
283,12,No TOSA or warning,Associate
284,11,No TOSA or warning,HS_or_less
285,17,No TOSA or warning,HS_or_less
286,10,No TOSA or warning,Bachelors
287,7,No TOSA or warning,Bachelors
288,6,No TOSA or warning,Bachelors
289,15,No TOSA or warning,HS_or_less
290,7,No TOSA or warning,Graduate
291,11,No TOSA or warning,Graduate
292,17,No TOSA or warning,Bachelors
293,9,No TOSA or warning,Graduate
294,3,No TOSA or warning,Bachelors
295,4,No TOSA or warning,Graduate
296,12,No TOSA or warning,Graduate
297,15,No TOSA or warning,Associate
298,20,No TOSA or warning,HS_or_less
299,15,No TOSA or warning,Bachelors
300,17,No TOSA or warning,Bachelors
301,17,No TOSA or warning,Associate
302,10,No TOSA or warning,Bachelors
303,6,No TOSA or warning,Bachelors
304,9,No TOSA or warning,Associate
305,0,No TOSA or warning,HS_or_less
306,0,No TOSA or warning,Bachelors
307,14,TOSA warning - NO click required,Bachelors
308,10,TOSA warning - NO click required,Graduate
309,0,TOSA warning - NO click required,Bachelors
310,8,TOSA warning - NO click required,Bachelors
311,9,TOSA warning - NO click required,Bachelors
312,8,TOSA warning - NO click required,HS_or_less
313,15,TOSA warning - NO click required,HS_or_less
314,0,TOSA warning - NO click required,Bachelors
315,14,TOSA warning - NO click required,Bachelors
316,2,TOSA warning - NO click required,HS_or_less
317,13,TOSA warning - NO click required,Bachelors
318,18,TOSA warning - NO click required,Associate
319,8,TOSA warning - NO click required,HS_or_less
320,14,TOSA warning - NO click required,HS_or_less
321,2,TOSA warning - NO click required,Bachelors
322,19,TOSA warning - NO click required,Bachelors
323,8,TOSA warning - NO click required,HS_or_less
324,16,TOSA warning - NO click required,Associate
325,12,TOSA warning - NO click required,HS_or_less
326,15,TOSA warning - NO click required,Bachelors
327,15,TOSA warning - NO click required,Bachelors
