Year,State,county_name,Rent,Pop,RentInc,PopInc,Class,Class2,,
2014,Montana,Madison County,868,"7,691",-0.018099548,-0.018967334,Rural,Rural,,
2014,Montana,Meagher County,793,"1,891",0.016666667,0.018145161,Rural,Rural,,
2014,Montana,Mineral County,881,"4,223",0.01849711,0.01726122,Rural,Rural,,
2014,Montana,Missoula County,1212,"109,299",0.145557656,0.145371079,Tourist,Tourist,,
2014,Montana,Musselshell County,885,"4,538",0.017241379,0.018145161,Rural,Rural,,
2014,Montana,Park County,933,"15,636",-0.016859852,-0.017049666,Rural,Urban,,
2014,Montana,Petroleum County,895,494,-0.034519957,-0.034416826,Rural,Rural,,
2014,Montana,Phillips County,895,"4,253",0.018202503,0.018145161,Rural,Rural,,
2014,Montana,Pondera County,939,"6,153",0.018438178,0.017132552,Rural,Rural,,
2014,Montana,Powder River County,939,"1,743",0.018438178,0.018145161,Rural,Rural,,
2014,Montana,Powell County,793,"7,027",0.016666667,0.017399267,Rural,Rural,,
2014,Montana,Prairie County,895,"1,179",0.018202503,0.018145161,Rural,Rural,,
2014,Montana,Ravalli County,1012,"40,212",-0.038022814,-0.037878788,Rural,Urban,,
2014,Montana,Richland County,816,"9,746",0.017456359,0.017132552,Rural,Rural,,
2014,Montana,Roosevelt County,793,"10,425",0.016666667,0.016726404,Rural,Rural,,
2014,Montana,Rosebud County,793,"9,233",0.016666667,0.016726404,Rural,Rural,,
2014,Montana,Sanders County,810,"11,413",0.01758794,0.017857143,Rural,Rural,,
2014,Montana,Sheridan County,939,"3,384",0.018438178,0.017132552,Rural,Rural,,
2014,Montana,Silver Bow County,793,"34,200",-0.005018821,-0.005336179,Urban,Urban,,
2014,Montana,Stillwater County,899,"9,117",0.018120045,0.017132552,Rural,Rural,,
2014,Montana,Sweet Grass County,946,"3,651",0.026030369,0.025247971,Rural,Rural,,
2014,Montana,Teton County,883,"6,073",0.017281106,0.018145161,Rural,Rural,,
2014,Montana,Toole County,939,"5,324",0.018438178,0.017132552,Rural,Rural,,
2014,Montana,Treasure County,888,718,0.018348624,0.018145161,Rural,Rural,,
